bowler,balls_bowled,runs_conceded,wickets,dot_balls,wides,no_balls,matches_bowled,fours_conceded,sixes_conceded,economy_rate,bowling_average,bowling_sr,dot_ball_pct,wickets_per_match,economy_powerplay,economy_middle,economy_death,three_wicket_haul,five_wicket_haul
YS Chahal,3961,5355,237,1370,98,9,179,308,264,8.11,22.59,16.71,34.59,1.32,7.52,8.02,9.91,25,1
B Kumar,4422,5780,228,1937,138,12,198,579,177,7.84,25.35,19.39,43.8,1.15,6.7,8.42,9.66,21,2
SP Narine,4521,5213,221,1794,61,4,194,331,196,6.92,23.59,20.46,39.68,1.14,6.71,6.69,7.96,18,3
DJ Bravo,3120,4436,207,1054,167,9,158,349,155,8.53,21.43,15.07,33.78,1.31,7.53,7.82,9.91,21,0
JJ Bumrah,3531,4374,206,1501,77,33,152,384,130,7.43,21.23,17.14,42.51,1.36,6.89,6.82,8.47,31,2
R Ashwin,4713,5721,205,1666,151,4,217,334,221,7.28,27.91,22.99,35.35,0.94,6.93,7.26,9.06,10,1
PP Chawla,3850,5179,201,1358,43,2,191,374,222,8.07,25.77,19.15,35.27,1.05,7.68,7.99,10.02,15,0
SL Malinga,2828,3486,188,1218,128,18,122,314,86,7.4,18.54,15.04,43.07,1.54,6.51,7.74,8.19,24,2
RA Jadeja,4177,5385,185,1381,61,5,232,320,229,7.74,29.11,22.58,33.06,0.8,7.32,7.66,9.2,18,1
A Mishra,3371,4193,183,1220,52,21,162,239,184,7.46,22.91,18.42,36.19,1.13,6.88,7.31,9.85,20,1
Rashid Khan,3387,4126,174,1273,29,0,144,261,175,7.31,23.71,19.47,37.58,1.21,7.15,7.14,8.59,18,1
Sandeep Sharma,3174,4316,169,1268,91,12,141,408,153,8.16,25.54,18.78,39.95,1.2,7.11,8.29,10.71,17,1
HV Patel,2495,3747,168,874,106,16,119,317,148,9.01,22.3,14.85,35.03,1.41,8.87,8.32,10.32,20,2
UT Yadav,3057,4442,163,1262,110,23,147,473,151,8.72,27.25,18.75,41.28,1.11,7.95,8.4,11.11,21,0
Harbhajan Singh,3416,4101,161,1312,76,4,160,296,145,7.2,25.47,21.22,38.41,1.01,6.81,7.27,8.75,15,1
Mohammed Shami,2823,4090,157,1208,79,7,127,423,154,8.69,26.05,17.98,42.79,1.24,7.78,8.78,11.05,15,0
TA Boult,2758,3916,152,1176,85,2,122,435,134,8.52,25.76,18.14,42.64,1.25,7.43,9.26,10.72,13,0
MM Sharma,2416,3537,149,847,48,7,119,342,131,8.78,23.74,16.21,35.06,1.25,8.03,8.17,10.38,19,2
AR Patel,3471,4342,144,1178,47,0,168,274,179,7.51,30.15,24.1,33.94,0.86,7.38,7.45,8.58,4,0
K Rabada,2111,3112,141,873,67,11,92,284,136,8.85,22.07,14.97,41.35,1.53,8.56,8.38,9.82,17,0
AD Russell,1811,2909,133,648,64,10,121,274,130,9.64,21.87,13.62,35.78,1.1,8.48,9.41,11.14,14,2
R Vinay Kumar,2127,3041,127,801,48,11,104,296,100,8.58,23.94,16.75,37.66,1.22,7.3,8.45,10.7,15,1
JD Unadkat,2355,3541,125,788,62,1,115,295,158,9.02,28.33,18.84,33.46,1.09,7.93,8.48,11.57,14,2
