match_id,season,city,date,match_type,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs,super_over,method,umpire1,umpire2,result_type,is_no_result,day_of_week,month,inn1_batting_team,inn1_total_runs,inn1_total_wickets,inn1_total_balls,inn1_total_fours,inn1_total_sixes,inn1_dot_balls,inn1_run_rate,inn2_batting_team,inn2_total_runs,inn2_total_wickets,inn2_total_balls,inn2_total_fours,inn2_total_sixes,inn2_dot_balls,inn2_run_rate,toss_winner_won,batting_first_team,batting_first_won,score_diff,season_num
335982,2008,Bangalore,2008-04-18,League,BB McCullum,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,runs,140,223,20.0,N,,Asad Rauf,RE Koertzen,runs,0,Friday,4,Kolkata Knight Riders,222,3,120,15,14,41,11.1,Royal Challengers Bangalore,82.0,10.0,91.0,3.0,3.0,55.0,5.41,0,Kolkata Knight Riders,1,140.0,1
335983,2008,Chandigarh,2008-04-19,League,MEK Hussey,PCA Stadium,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,33,241,20.0,N,,MR Benson,SL Shastri,runs,0,Saturday,4,Chennai Super Kings,240,5,120,20,16,36,12.0,Kings XI Punjab,207.0,4.0,120.0,18.0,9.0,29.0,10.35,1,Chennai Super Kings,1,33.0,1
335984,2008,Delhi,2008-04-19,League,MF Maharoof,Feroz Shah Kotla,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,Delhi Capitals,wickets,9,130,20.0,N,,Aleem Dar,GA Pratapkumar,wickets,0,Saturday,4,Rajasthan Royals,129,8,120,14,3,58,6.45,Delhi Capitals,132.0,1.0,91.0,18.0,1.0,31.0,8.7,0,Rajasthan Royals,0,-3.0,1
335985,2008,Mumbai,2008-04-20,League,MV Boucher,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Royal Challengers Bangalore,wickets,5,166,20.0,N,,SJ Davis,DJ Harper,wickets,0,Sunday,4,Mumbai Indians,165,7,120,18,5,50,8.25,Royal Challengers Bangalore,166.0,5.0,118.0,15.0,6.0,36.0,8.44,0,Mumbai Indians,0,-1.0,1
335986,2008,Kolkata,2008-04-20,League,DJ Hussey,Eden Gardens,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,Kolkata Knight Riders,wickets,5,111,20.0,N,,BF Bowden,K Hariharan,wickets,0,Sunday,4,Deccan Chargers,110,10,112,6,6,66,5.89,Kolkata Knight Riders,112.0,5.0,114.0,5.0,4.0,67.0,5.89,0,Deccan Chargers,0,-2.0,1
335987,2008,Jaipur,2008-04-21,League,SR Watson,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,bat,Rajasthan Royals,wickets,6,167,20.0,N,,Aleem Dar,RB Tiffin,wickets,0,Monday,4,Kings XI Punjab,166,8,119,18,7,55,8.37,Rajasthan Royals,168.0,4.0,109.0,17.0,7.0,49.0,9.25,0,Kings XI Punjab,0,-2.0,1
335988,2008,Hyderabad,2008-04-22,League,V Sehwag,Uppal Stadium,Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,Delhi Capitals,wickets,9,143,20.0,N,,IL Howell,AM Saheba,wickets,0,Tuesday,4,Deccan Chargers,142,8,120,12,6,59,7.1,Delhi Capitals,143.0,1.0,78.0,15.0,6.0,27.0,11.0,0,Deccan Chargers,0,-1.0,1
335989,2008,Chennai,2008-04-23,League,ML Hayden,MA Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,runs,6,209,20.0,N,,DJ Harper,GA Pratapkumar,runs,0,Wednesday,4,Chennai Super Kings,208,5,120,24,6,41,10.4,Mumbai Indians,202.0,7.0,120.0,19.0,8.0,40.0,10.1,0,Chennai Super Kings,1,6.0,1
335990,2008,Hyderabad,2008-04-24,League,YK Pathan,Uppal Stadium,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,3,215,20.0,N,,Asad Rauf,MR Benson,wickets,0,Thursday,4,Deccan Chargers,214,5,120,24,9,37,10.7,Rajasthan Royals,217.0,7.0,119.0,18.0,14.0,37.0,10.94,1,Deccan Chargers,0,-3.0,1
335991,2008,Chandigarh,2008-04-25,League,KC Sangakkara,PCA Stadium,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Kings XI Punjab,runs,66,183,20.0,N,,Aleem Dar,AM Saheba,runs,0,Friday,4,Kings XI Punjab,182,10,120,18,5,42,9.1,Mumbai Indians,116.0,9.0,120.0,12.0,4.0,70.0,5.8,0,Kings XI Punjab,1,66.0,1
