match_id,season,city,date,match_type,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs,super_over,method,umpire1,umpire2,result_type,is_no_result,day_of_week,month
335982,2008,Bangalore,2008-04-18,League,BB McCullum,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,runs,140,223,20.0,N,,Asad Rauf,RE Koertzen,runs,0,Friday,4
335983,2008,Chandigarh,2008-04-19,League,MEK Hussey,PCA Stadium,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,33,241,20.0,N,,MR Benson,SL Shastri,runs,0,Saturday,4
335984,2008,Delhi,2008-04-19,League,MF Maharoof,Feroz Shah Kotla,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,Delhi Capitals,wickets,9,130,20.0,N,,Aleem Dar,GA Pratapkumar,wickets,0,Saturday,4
335985,2008,Mumbai,2008-04-20,League,MV Boucher,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Royal Challengers Bangalore,wickets,5,166,20.0,N,,SJ Davis,DJ Harper,wickets,0,Sunday,4
335986,2008,Kolkata,2008-04-20,League,DJ Hussey,Eden Gardens,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,Kolkata Knight Riders,wickets,5,111,20.0,N,,BF Bowden,K Hariharan,wickets,0,Sunday,4
335987,2008,Jaipur,2008-04-21,League,SR Watson,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,bat,Rajasthan Royals,wickets,6,167,20.0,N,,Aleem Dar,RB Tiffin,wickets,0,Monday,4
335988,2008,Hyderabad,2008-04-22,League,V Sehwag,Uppal Stadium,Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,Delhi Capitals,wickets,9,143,20.0,N,,IL Howell,AM Saheba,wickets,0,Tuesday,4
335989,2008,Chennai,2008-04-23,League,ML Hayden,MA Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,runs,6,209,20.0,N,,DJ Harper,GA Pratapkumar,runs,0,Wednesday,4
335990,2008,Hyderabad,2008-04-24,League,YK Pathan,Uppal Stadium,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,3,215,20.0,N,,Asad Rauf,MR Benson,wickets,0,Thursday,4
335991,2008,Chandigarh,2008-04-25,League,KC Sangakkara,PCA Stadium,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Kings XI Punjab,runs,66,183,20.0,N,,Aleem Dar,AM Saheba,runs,0,Friday,4
335992,2008,Bangalore,2008-04-26,League,SR Watson,M Chinnaswamy Stadium,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,7,136,20.0,N,,MR Benson,IL Howell,wickets,0,Saturday,4
335993,2008,Chennai,2008-04-26,League,JDP Oram,MA Chidambaram Stadium,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Chennai Super Kings,wickets,9,148,20.0,N,,BF Bowden,AV Jayaprakash,wickets,0,Saturday,4
335994,2008,Mumbai,2008-04-27,League,AC Gilchrist,DY Patil Stadium,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,wickets,10,155,20.0,N,,Asad Rauf,SL Shastri,wickets,0,Sunday,4
335995,2008,Chandigarh,2008-04-27,League,SM Katich,PCA Stadium,Kings XI Punjab,Delhi Capitals,Delhi Capitals,bat,Kings XI Punjab,wickets,4,159,20.0,N,,RE Koertzen,I Shivram,wickets,0,Sunday,4
335996,2008,Bangalore,2008-04-28,League,MS Dhoni,M Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,13,179,20.0,N,,BR Doctrove,RB Tiffin,runs,0,Monday,4
335997,2008,Kolkata,2008-04-29,League,ST Jayasuriya,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians,wickets,7,138,20.0,N,,BF Bowden,AV Jayaprakash,wickets,0,Tuesday,4
335998,2008,Delhi,2008-04-30,League,GD McGrath,Feroz Shah Kotla,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Delhi Capitals,runs,10,192,20.0,N,,Aleem Dar,I Shivram,runs,0,Wednesday,4
335999,2008,Hyderabad,2008-05-01,League,SE Marsh,Uppal Stadium,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,wickets,7,165,20.0,N,,BR Doctrove,RB Tiffin,wickets,0,Thursday,5
336000,2008,Jaipur,2008-05-01,League,SA Asnodkar,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals,runs,45,197,20.0,N,,RE Koertzen,GA Pratapkumar,runs,0,Thursday,5
336001,2008,Chennai,2008-05-02,League,V Sehwag,MA Chidambaram Stadium,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Delhi Capitals,wickets,8,170,20.0,N,,BF Bowden,K Hariharan,wickets,0,Friday,5
336003,2008,Chandigarh,2008-05-03,League,IK Pathan,PCA Stadium,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,Kings XI Punjab,runs,9,179,20.0,N,,DJ Harper,I Shivram,runs,0,Saturday,5
336034,2008,Bangalore,2008-05-03,League,P Kumar,M Chinnaswamy Stadium,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,Royal Challengers Bangalore,runs,3,157,20.0,N,,BR Doctrove,SL Shastri,runs,0,Saturday,5
336004,2008,Mumbai,2008-05-04,League,SM Pollock,DY Patil Stadium,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,runs,29,163,20.0,N,,IL Howell,RE Koertzen,runs,0,Sunday,5
