A_form5,B_form5,form_diff5,A_form10,B_form10,form_diff10,A_overall_wr,B_overall_wr,overall_wr_diff,A_venue_wr,B_venue_wr,A_venue_exp,B_venue_exp,venue_exp_diff,venue_wr_diff,venue_bat_first_wr,A_avg_score,B_avg_score,score_diff,A_avg_wickets,B_avg_wickets,wicket_diff,h2h_wr_A,h2h_n,toss_decision_bat,toss_correct,A_consistency,B_consistency,season_stage,toss_winner_won,match_id,season,team_A,team_B
0.6667,0.5,0.1667,0.6667,0.5,0.1667,0.6667,0.5,0.1667,0.5,0.0,0,1,-1,0.5,0.5,171.33,124.0,47.33,4.67,5.0,-0.33,0.5,0,0,0,0.4714,0.3,0,1,335992,2008,Rajasthan Royals,Royal Challengers Bangalore
1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.5,1.0,0,1,-1,-0.5,0.5,167.0,224.0,-57.0,10.0,5.5,4.5,0.5,0,1,1,0.3,0.3,0,0,335993,2008,Kolkata Knight Riders,Chennai Super Kings
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0,0,0,0.0,0.5,155.33,161.0,-5.67,4.33,6.67,-2.34,0.5,0,0,0,0.0,0.0,0,1,335994,2008,Deccan Chargers,Mumbai Indians
1.0,0.3333,0.6667,1.0,0.3333,0.6667,1.0,0.3333,0.6667,0.5,0.5,0,2,-2,0.0,0.5,137.5,185.0,-47.5,8.0,6.0,2.0,0.5,0,1,1,0.3,0.4714,0,0,335995,2008,Delhi Capitals,Kings XI Punjab
1.0,0.3333,0.6667,1.0,0.3333,0.6667,1.0,0.3333,0.6667,0.5,0.0,0,2,-2,0.5,0.5,200.0,127.67,72.33,6.67,4.33,2.34,0.5,0,1,1,0.0,0.4714,0,1,335996,2008,Chennai Super Kings,Royal Challengers Bangalore
0.6667,0.0,0.6667,0.6667,0.0,0.6667,0.6667,0.0,0.6667,1.0,0.5,1,0,1,0.5,0.5,160.33,159.25,1.08,7.0,5.0,2.0,0.5,0,1,1,0.4714,0.0,0,0,335997,2008,Kolkata Knight Riders,Mumbai Indians
0.25,0.6667,-0.4167,0.25,0.6667,-0.4167,0.25,0.6667,-0.4167,0.5,1.0,0,1,-1,-0.5,0.5,137.0,144.33,-7.33,4.5,7.33,-2.83,0.5,0,0,0,0.433,0.4714,0,0,335998,2008,Royal Challengers Bangalore,Delhi Capitals
0.75,0.5,0.25,0.75,0.5,0.25,0.75,0.5,0.25,1.0,0.5,1,0,1,0.5,0.5,163.0,154.5,8.5,5.5,6.0,-0.5,0.5,0,1,1,0.433,0.5,0,1,336000,2008,Rajasthan Royals,Kolkata Knight Riders
0.5,0.25,0.25,0.5,0.25,0.25,0.5,0.25,0.25,0.5,0.0,0,2,-2,0.5,0.5,179.25,155.25,24.0,6.5,5.0,1.5,0.5,0,0,0,0.5,0.433,0,1,335999,2008,Kings XI Punjab,Deccan Chargers
1.0,0.75,0.25,1.0,0.75,0.25,1.0,0.75,0.25,1.0,0.5,2,0,2,0.5,0.5,194.5,156.0,38.5,7.5,6.75,0.75,0.5,0,1,1,0.0,0.433,0,0,336001,2008,Chennai Super Kings,Delhi Capitals
0.6,0.4,0.2,0.6,0.4,0.2,0.6,0.4,0.2,0.6667,0.5,3,0,3,0.1667,0.5,176.8,153.8,23.0,6.8,6.2,0.6,0.5,0,1,1,0.4899,0.4899,0,1,336003,2008,Kings XI Punjab,Kolkata Knight Riders
0.2,0.2,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.5,0.0,0,3,-3,0.5,0.5,157.0,145.8,11.2,4.6,4.6,0.0,0.5,0,0,0,0.4,0.4,0,0,336034,2008,Deccan Chargers,Royal Challengers Bangalore
0.8,0.2,0.6,0.8,0.2,0.6,0.8,0.2,0.6,0.5,0.0,0,1,-1,0.5,0.5,159.2,155.0,4.2,6.6,5.6,1.0,0.5,0,0,0,0.4,0.4,1,0,336004,2008,Delhi Capitals,Mumbai Indians
0.8,0.8,0.0,0.8,0.8,0.0,0.8,0.8,0.0,0.5,1.0,0,2,-2,-0.5,0.5,189.4,169.6,19.8,6.4,6.4,0.0,0.5,0,1,1,0.4,0.4,1,0,336005,2008,Chennai Super Kings,Rajasthan Royals
0.8,0.4,0.4,0.6667,0.3333,0.3334,0.6667,0.3333,0.3334,0.5,0.25,0,4,-4,0.25,0.5,177.0,147.5,29.5,6.67,4.83,1.84,0.5,0,0,0,0.4714,0.4714,1,1,336006,2008,Kings XI Punjab,Royal Challengers Bangalore
0.2,0.6,-0.4,0.1667,0.6667,-0.5,0.1667,0.6667,-0.5,0.5,0.6667,0,3,-3,-0.1667,0.5,156.33,176.0,-19.67,5.17,5.67,-0.5,0.5,0,0,0,0.3727,0.4714,1,1,336007,2008,Deccan Chargers,Chennai Super Kings
0.4,1.0,-0.6,0.3333,0.8333,-0.5,0.3333,0.8333,-0.5,0.5,0.5,2,0,2,0.0,0.5,156.17,159.67,-3.5,6.33,7.0,-0.67,0.5,0,0,0,0.4714,0.3727,1,1,336008,2008,Mumbai Indians,Rajasthan Royals
0.2,0.2,0.0,0.3333,0.2857,0.0476,0.3333,0.2857,0.0476,0.5,0.5,2,0,2,0.0,0.5,156.33,144.43,11.9,6.17,4.71,1.46,1.0,1,1,1,0.4714,0.4518,1,1,336010,2008,Kolkata Knight Riders,Royal Challengers Bangalore
0.4,0.6,-0.2,0.5714,0.6667,-0.0953,0.5714,0.6667,-0.0953,0.5,1.0,0,2,-2,-0.5,0.5,171.43,154.83,16.6,5.29,6.83,-1.54,0.0,1,0,0,0.4949,0.4714,1,1,336009,2008,Chennai Super Kings,Delhi Capitals
0.8,0.4,0.4,0.7143,0.2857,0.4286,0.7143,0.2857,0.4286,1.0,0.5,3,0,3,0.5,0.5,151.57,155.14,-3.57,6.43,5.43,1.0,1.0,1,0,0,0.4518,0.4518,1,1,336011,2008,Rajasthan Royals,Deccan Chargers
1.0,0.4,0.6,0.7143,0.625,0.0893,0.7143,0.625,0.0893,0.5,0.5,0,4,-4,0.0,0.5,169.86,173.5,-3.64,7.14,5.25,1.89,0.0,1,0,0,0.4518,0.4841,1,0,336013,2008,Kings XI Punjab,Chennai Super Kings
0.2,0.4,-0.2,0.4286,0.25,0.1786,0.4286,0.25,0.1786,0.5,0.0,0,3,-3,0.5,0.5,152.43,153.25,-0.82,5.86,5.0,0.86,1.0,1,1,1,0.4949,0.433,1,1,336014,2008,Kolkata Knight Riders,Deccan Chargers
0.8,0.4,0.4,0.75,0.5714,0.1786,0.75,0.5714,0.1786,1.0,0.5,4,0,4,0.5,0.5,150.25,159.43,-9.18,6.62,6.71,-0.09,0.0,1,0,0,0.433,0.4949,1,1,336015,2008,Rajasthan Royals,Delhi Capitals
0.2,0.8,-0.6,0.25,0.625,-0.375,0.25,0.625,-0.375,0.5,0.75,0,4,-4,-0.25,0.5,141.88,169.0,-27.12,5.0,6.75,-1.75,0.0,1,1,1,0.433,0.4841,1,0,336016,2008,Royal Challengers Bangalore,Kings XI Punjab
0.4,0.4,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.6667,0.5,3,0,3,0.1667,0.5,158.88,159.0,-0.12,6.0,6.75,-0.75,0.5,0,1,1,0.5,0.5,1,1,336017,2008,Kolkata Knight Riders,Delhi Capitals
0.6,0.4,0.2,0.4286,0.6667,-0.2381,0.4286,0.6667,-0.2381,0.0,0.5,1,0,1,-0.5,0.5,148.71,174.33,-25.62,6.86,5.67,1.19,0.0,1,0,0,0.4949,0.4841,1,1,336018,2008,Mumbai Indians,Chennai Super Kings
0.2,0.2,0.0,0.2222,0.4444,-0.2222,0.2222,0.4444,-0.2222,0.5,0.6667,0,3,-3,-0.1667,0.5,156.33,153.56,2.77,4.89,6.67,-1.78,0.0,1,0,0,0.433,0.4841,1,0,336020,2008,Deccan Chargers,Delhi Capitals
0.8,0.6,0.2,0.5,0.5556,-0.0556,0.5,0.5556,-0.0556,0.5,0.5,2,0,2,0.0,0.5,149.88,156.0,-6.12,6.75,6.44,0.31,1.0,1,0,0,0.5,0.5,1,1,336021,2008,Mumbai Indians,Kolkata Knight Riders
0.2,0.8,-0.6,0.5,0.6667,-0.1667,0.5,0.6667,-0.1667,0.75,0.5,4,0,4,0.25,0.5,157.6,166.22,-8.62,6.9,6.89,0.01,0.0,1,1,1,0.4841,0.433,1,0,336022,2008,Delhi Capitals,Kings XI Punjab
0.2,0.8,-0.6,0.2222,0.7778,-0.5556,0.2222,0.7778,-0.5556,0.5,1.0,0,5,-5,-0.5,0.5,142.0,151.22,-9.22,4.56,6.67,-2.11,0.0,1,0,0,0.433,0.3307,1,0,336023,2008,Royal Challengers Bangalore,Rajasthan Royals
0.2,1.0,-0.8,0.2,0.5556,-0.3556,0.2,0.5556,-0.3556,0.0,0.5,4,0,4,-0.5,0.5,158.9,140.78,18.12,4.8,7.11,-2.31,1.0,1,0,0,0.433,0.4841,1,0,336024,2008,Deccan Chargers,Mumbai Indians
0.6,0.4,0.2,0.5,0.6,-0.1,0.5,0.6,-0.1,0.75,0.5,4,0,4,0.25,0.5,147.1,172.5,-25.4,6.0,5.2,0.8,0.0,1,1,1,0.4841,0.5,1,0,336025,2008,Kolkata Knight Riders,Chennai Super Kings
