season,team,matches_played,matches_won,win_pct,toss_wins,toss_bat_choice
2008,Royal Challengers Bangalore,14,4,28.6,5,2
2008,Kings XI Punjab,15,10,66.7,8,4
2008,Delhi Capitals,14,7,50.0,6,2
2008,Mumbai Indians,14,7,50.0,8,1
2008,Kolkata Knight Riders,13,6,46.2,6,6
2008,Rajasthan Royals,16,13,81.2,11,3
2008,Deccan Chargers,14,2,14.3,9,4
2008,Chennai Super Kings,16,9,56.2,5,4
2009,Chennai Super Kings,14,8,57.1,7,6
2009,Royal Challengers Bangalore,16,9,56.2,8,5
2009,Delhi Capitals,15,10,66.7,9,4
2009,Deccan Chargers,16,9,56.2,10,5
2009,Kings XI Punjab,14,7,50.0,6,3
2009,Kolkata Knight Riders,13,3,23.1,7,4
2009,Mumbai Indians,13,5,38.5,6,6
2009,Rajasthan Royals,13,6,46.2,4,2
2010,Deccan Chargers,16,8,50.0,9,5
2010,Mumbai Indians,16,11,68.8,9,7
2010,Kings XI Punjab,14,4,28.6,5,3
2010,Kolkata Knight Riders,14,7,50.0,7,6
2010,Chennai Super Kings,16,9,56.2,10,7
2010,Rajasthan Royals,14,6,42.9,6,5
2010,Royal Challengers Bangalore,16,8,50.0,6,1
2010,Delhi Capitals,14,7,50.0,8,5
2011,Chennai Super Kings,16,11,68.8,9,7
2011,Deccan Chargers,14,6,42.9,6,3
2011,Kochi Tuskers Kerala,14,6,42.9,8,3
2011,Delhi Capitals,14,4,28.6,9,4
2011,Pune Warriors India,14,4,28.6,5,2
2011,Kolkata Knight Riders,15,8,53.3,7,1
2011,Rajasthan Royals,13,6,46.2,7,1
2011,Royal Challengers Bangalore,16,10,62.5,6,0
2011,Kings XI Punjab,14,7,50.0,10,3
2011,Mumbai Indians,16,10,62.5,6,1
2012,Chennai Super Kings,18,10,55.6,7,4
2012,Kolkata Knight Riders,17,12,70.6,7,4
2012,Mumbai Indians,17,10,58.8,11,3
2012,Rajasthan Royals,16,7,43.8,10,8
2012,Royal Challengers Bangalore,15,8,53.3,6,1
2012,Deccan Chargers,15,4,26.7,9,7
2012,Pune Warriors India,16,4,25.0,6,4
2012,Delhi Capitals,18,11,61.1,10,2
2012,Kings XI Punjab,16,8,50.0,8,4
2013,Kolkata Knight Riders,16,6,37.5,12,6
2013,Royal Challengers Bangalore,16,9,56.2,5,2
2013,Sunrisers Hyderabad,17,10,58.8,7,6
2013,Delhi Capitals,16,3,18.8,5,3
2013,Chennai Super Kings,18,12,66.7,8,5
2013,Pune Warriors India,16,4,25.0,9,5
2013,Rajasthan Royals,18,11,61.1,11,6
2013,Mumbai Indians,19,13,68.4,12,10
2013,Kings XI Punjab,16,8,50.0,7,2
