A_form5,B_form5,form_diff5,A_form10,B_form10,form_diff10,A_overall_wr,B_overall_wr,overall_wr_diff,A_venue_wr,B_venue_wr,A_venue_exp,B_venue_exp,venue_exp_diff,venue_wr_diff,venue_bat_first_wr,A_avg_score,B_avg_score,score_diff,A_avg_wickets,B_avg_wickets,wicket_diff,h2h_wr_A,h2h_n,toss_decision_bat,toss_correct,A_consistency,B_consistency,season_stage,team1_won,match_id,season,team_A,team_B
0.5,0.6667,-0.1667,0.5,0.6667,-0.1667,0.5,0.6667,-0.1667,0.0,0.5,1,0,1,-0.5,0.5,124.0,171.33,-47.33,5.0,4.67,0.33,0.5,0,0,0,0.3,0.4714,0,0,335992,2008,Royal Challengers Bangalore,Rajasthan Royals
1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.5,1,0,1,0.5,0.5,224.0,167.0,57.0,5.5,10.0,-4.5,0.5,0,1,1,0.3,0.3,0,1,335993,2008,Chennai Super Kings,Kolkata Knight Riders
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0,0,0,0.0,0.5,161.0,155.33,5.67,6.67,4.33,2.34,0.5,0,0,0,0.0,0.0,0,0,335994,2008,Mumbai Indians,Deccan Chargers
0.3333,1.0,-0.6667,0.3333,1.0,-0.6667,0.3333,1.0,-0.6667,0.5,0.5,2,0,2,0.0,0.5,185.0,137.5,47.5,6.0,8.0,-2.0,0.5,0,1,1,0.4714,0.3,0,1,335995,2008,Kings XI Punjab,Delhi Capitals
0.3333,1.0,-0.6667,0.3333,1.0,-0.6667,0.3333,1.0,-0.6667,0.0,0.5,2,0,2,-0.5,0.5,127.67,200.0,-72.33,4.33,6.67,-2.34,0.5,0,1,1,0.4714,0.0,0,0,335996,2008,Royal Challengers Bangalore,Chennai Super Kings
0.6667,0.0,0.6667,0.6667,0.0,0.6667,0.6667,0.0,0.6667,1.0,0.5,1,0,1,0.5,0.5,160.33,159.25,1.08,7.0,5.0,2.0,0.5,0,1,1,0.4714,0.0,0,0,335997,2008,Kolkata Knight Riders,Mumbai Indians
0.6667,0.25,0.4167,0.6667,0.25,0.4167,0.6667,0.25,0.4167,1.0,0.5,1,0,1,0.5,0.5,144.33,137.0,7.33,7.33,4.5,2.83,0.5,0,0,0,0.4714,0.433,0,1,335998,2008,Delhi Capitals,Royal Challengers Bangalore
0.25,0.5,-0.25,0.25,0.5,-0.25,0.25,0.5,-0.25,0.0,0.5,2,0,2,-0.5,0.5,155.25,179.25,-24.0,5.0,6.5,-1.5,0.5,0,0,0,0.433,0.5,0,0,335999,2008,Deccan Chargers,Kings XI Punjab
0.75,0.5,0.25,0.75,0.5,0.25,0.75,0.5,0.25,1.0,0.5,1,0,1,0.5,0.5,163.0,154.5,8.5,5.5,6.0,-0.5,0.5,0,1,1,0.433,0.5,0,1,336000,2008,Rajasthan Royals,Kolkata Knight Riders
1.0,0.75,0.25,1.0,0.75,0.25,1.0,0.75,0.25,1.0,0.5,2,0,2,0.5,0.5,194.5,156.0,38.5,7.5,6.75,0.75,0.5,0,1,1,0.0,0.433,0,0,336001,2008,Chennai Super Kings,Delhi Capitals
0.6,0.4,0.2,0.6,0.4,0.2,0.6,0.4,0.2,0.6667,0.5,3,0,3,0.1667,0.5,176.8,153.8,23.0,6.8,6.2,0.6,0.5,0,1,1,0.4899,0.4899,0,1,336003,2008,Kings XI Punjab,Kolkata Knight Riders
0.2,0.2,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.0,0.5,3,0,3,-0.5,0.5,145.8,157.0,-11.2,4.6,4.6,0.0,0.5,0,0,0,0.4,0.4,0,1,336034,2008,Royal Challengers Bangalore,Deccan Chargers
0.2,0.8,-0.6,0.2,0.8,-0.6,0.2,0.8,-0.6,0.0,0.5,1,0,1,-0.5,0.5,155.0,159.2,-4.2,5.6,6.6,-1.0,0.5,0,0,0,0.4,0.4,1,1,336004,2008,Mumbai Indians,Delhi Capitals
0.8,0.8,0.0,0.8,0.8,0.0,0.8,0.8,0.0,1.0,0.5,2,0,2,0.5,0.5,169.6,189.4,-19.8,6.4,6.4,0.0,0.5,0,1,1,0.4,0.4,1,1,336005,2008,Rajasthan Royals,Chennai Super Kings
0.4,0.8,-0.4,0.3333,0.6667,-0.3334,0.3333,0.6667,-0.3334,0.25,0.5,4,0,4,-0.25,0.5,147.5,177.0,-29.5,4.83,6.67,-1.84,0.5,0,0,0,0.4714,0.4714,1,0,336006,2008,Royal Challengers Bangalore,Kings XI Punjab
0.6,0.2,0.4,0.6667,0.1667,0.5,0.6667,0.1667,0.5,0.6667,0.5,3,0,3,0.1667,0.5,176.0,156.33,19.67,5.67,5.17,0.5,0.5,0,0,0,0.4714,0.3727,1,0,336007,2008,Chennai Super Kings,Deccan Chargers
0.4,1.0,-0.6,0.3333,0.8333,-0.5,0.3333,0.8333,-0.5,0.5,0.5,2,0,2,0.0,0.5,156.17,159.67,-3.5,6.33,7.0,-0.67,0.5,0,0,0,0.4714,0.3727,1,1,336008,2008,Mumbai Indians,Rajasthan Royals
0.6,0.4,0.2,0.6667,0.5714,0.0953,0.6667,0.5714,0.0953,1.0,0.5,2,0,2,0.5,0.5,154.83,171.43,-16.6,6.83,5.29,1.54,1.0,1,0,0,0.4714,0.4949,1,0,336009,2008,Delhi Capitals,Chennai Super Kings
0.2,0.2,0.0,0.3333,0.2857,0.0476,0.3333,0.2857,0.0476,0.5,0.5,2,0,2,0.0,0.5,156.33,144.43,11.9,6.17,4.71,1.46,1.0,1,1,1,0.4714,0.4518,1,1,336010,2008,Kolkata Knight Riders,Royal Challengers Bangalore
0.8,0.4,0.4,0.7143,0.2857,0.4286,0.7143,0.2857,0.4286,1.0,0.5,3,0,3,0.5,0.5,151.57,155.14,-3.57,6.43,5.43,1.0,1.0,1,0,0,0.4518,0.4518,1,1,336011,2008,Rajasthan Royals,Deccan Chargers
0.4,1.0,-0.6,0.625,0.7143,-0.0893,0.625,0.7143,-0.0893,0.5,0.5,4,0,4,0.0,0.5,173.5,169.86,3.64,5.25,7.14,-1.89,1.0,1,0,0,0.4841,0.4518,1,1,336013,2008,Chennai Super Kings,Kings XI Punjab
0.4,0.2,0.2,0.25,0.4286,-0.1786,0.25,0.4286,-0.1786,0.0,0.5,3,0,3,-0.5,0.5,153.25,152.43,0.82,5.0,5.86,-0.86,0.0,1,1,1,0.433,0.4949,1,0,336014,2008,Deccan Chargers,Kolkata Knight Riders
0.8,0.4,0.4,0.75,0.5714,0.1786,0.75,0.5714,0.1786,1.0,0.5,4,0,4,0.5,0.5,150.25,159.43,-9.18,6.62,6.71,-0.09,0.0,1,0,0,0.433,0.4949,1,1,336015,2008,Rajasthan Royals,Delhi Capitals
0.8,0.2,0.6,0.625,0.25,0.375,0.625,0.25,0.375,0.75,0.5,4,0,4,0.25,0.5,169.0,141.88,27.12,6.75,5.0,1.75,1.0,1,1,1,0.4841,0.433,1,1,336016,2008,Kings XI Punjab,Royal Challengers Bangalore
0.4,0.4,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.6667,0.5,3,0,3,0.1667,0.5,158.88,159.0,-0.12,6.0,6.75,-0.75,0.5,0,1,1,0.5,0.5,1,1,336017,2008,Kolkata Knight Riders,Delhi Capitals
